Actual,Predicted
-1,-0.9959809626628381
-1,-0.9985948908334691
-1,-0.9979541807638354
-1,-0.9998282040399994
-1,-1.0021421756633386
-1,-0.9990821374658488
-1,-0.9998069043108582
-1,-1.0327367423901272
-1,-1.0063360429995978
-1,-0.9989259525328104
-1,-0.9994131991651908
-1,-1.0063424029726222
-1,-1.0026239133466288
-1,-0.9986429595391755
-1,-1.0021421756633386
-1,-1.0082173678025648
-1,-1.0026239133466288
-1,-0.9983778062729072
-1,-1.0019250911027775
-1,-0.9997268942118246
-1,-1.0003047748799796
-1,-1.0026239133466288
-1,-0.9990058815772125
-1,-0.9604444900617743
-1,-0.9995849805898035
-1,-0.9990766285167592
-1,-1.0021421756633386
-1,-0.9989045717490381
-1,-0.9998282040399994
-1,-0.9995849805898035
-1,-0.9985948908334691
-1,-0.9985948908334691
-1,-0.9994718284804518
-1,-1.0012355033733384
-1,-0.9993497905939794
-1,-1.0205573154287055
-1,-0.9983778062729072
-1,-1.00181130942917
-1,-0.9994718284804518
-1,-0.9994718284804518
-1,-0.9993918994360494
-1,-0.9994718284804518
-1,-1.0019250911027775
-1,-1.0021421756633386
-1,-0.9981594943667356
-1,-0.9998145211585309
-1,-1.0021421756633386
-1,-0.9990766285167592
-1,-0.9988122881017912
-1,-0.9998282040399994
-1,-0.9875452554916285
-1,-0.9998282040399994
-1,-1.0028497645235448
-1,-0.9994931282095927
-1,-0.9918281600966414
-1,-0.9998069043108582
-1,-0.9995548959282328
-1,-0.9985948908334691
-1,-0.9924336683448538
-1,-1.00181130942917
-1,-0.9998069043108582
-1,-0.9994718284804518
-1,-0.999893916360645
-1,-0.9994297196383816
-1,-0.9929560063569749
-1,-0.9939651713353657
-1,-0.9898938043811819
-1,-1.0059651392757167
-1,-1.0004067636018963
-1,-0.9998946615053725
-1,-0.9997269752664563
-1,-0.9998069043108582
-1,-0.9985948908334691
-1,-0.9994718284804518
-1,-1.0015648812128424
-1,-0.9989045717490381
-1,-1.0026239133466288
-1,-1.0019973785134375
-1,-0.9995396931291705
-1,-1.0053098569983343
-1,-0.9998282040399994
-1,-1.0025531664070833
-1,-1.000588077594905
-1,-1.0057561409899898
-1,-0.9993678960292418
-1,-0.9987682533767476
-1,-0.9987219275759135
-1,-0.9934830687426897
-1,-0.9989259525328104
-1,-0.9842256869396142
-1,-1.0270838359697452
-1,-0.9985916741217249
-1,-0.9988725713194971
-1,-0.9993918183814183
-1,-0.9997770468017295
-1,-0.9993918994360494
-1,-1.0157377929375508
-1,-0.9737627540413968
-1,-1.001790009700029
-1,-0.9994312415225152
-1,-0.9845431143558715
-1,-0.9985948908334691
-1,-1.0157377929375508
-1,-0.9990617857357023
-1,-1.0019250911027775
-1,-1.0026239133466288
-1,-0.9983778062729072
-1,-0.9994931282095927
-1,-1.000391980055724
-1,-1.0019250911027775
-1,-1.0021421756633386
-1,-1.011967484659232
-1,-0.9999959713335473
-1,-0.9990766285167592
-1,-0.9998282040399994
-1,-0.9988122881017912
-1,-0.9994931282095927
-1,-1.0026239133466288
-1,-0.9983778062729072
-1,-0.9996092761539833
-1,-1.010433596404033
-1,-1.0025531664070833
-1,-0.9988122881017912
-1,-1.0019250911027775
-1,-0.992046944154531
-1,-0.9994131991651908
-1,-1.0021421756633386
-1,-0.9997268942118246
-1,-0.9901436117345355
-1,-0.9984520782118561
-1,-0.998716418626824
-1,-0.9994931282095927
-1,-0.994175426620773
-1,-0.9990449593750022
-1,-0.9999445649900449
-1,-0.9864807339692361
-1,-1.0024022914076078
-1,-1.02306194009205
-1,-0.9997268942118246
-1,-0.999441970971323
-1,-1.023945376963078
-1,-0.9997770468017295
-1,-1.004216139153068
-1,-0.9816844750325756
-1,-0.9809399344675866
-1,-0.999441970971323
-1,-0.9983778062729072
-1,-0.9935925255006689
-1,-1.019389894971672
-1,-0.9994718284804518
-1,-0.9748860046276595
-1,-0.9983778062729072
-1,-1.0057561409899898
-1,-0.9972838395914516
-1,-0.9988122881017912
-1,-0.9985948908334691
-1,-0.9988122881017912
-1,-0.9985948908334691
-1,-1.0021421756633386
-1,-1.0019250911027775
-1,-0.9998069043108582
-1,-0.9988122881017912
-1,-0.9931881550496495
-1,-1.0059651392757167
-1,-0.9844252111763967
-1,-0.9981358718733043
-1,-1.0019250911027775
-1,-0.9994297196383816
-1,-1.0019250911027775
-1,-0.9983778062729072
-1,-0.999748274995597
-1,-1.001790009700029
-1,-0.9993918183814183
-1,-1.0015648812128424
-1,-0.9989259525328101
-1,-0.9995849805898035
-1,-0.9985948908334691
-1,-0.9993918994360494
-1,-1.0021421756633386
-1,-0.9990058815772127
-1,-1.0019250911027775
-1,-0.9989895807040441
-1,-0.9999443725347784
-1,-0.9985948908334691
-1,-0.9868895581747291
-1,-0.9901266751438664
-1,-0.9277659341341611
-1,-0.9994931282095927
-1,-1.0080668331486833
-1,-1.0019250911027775
-1,-1.0004067636018963
-1,-1.0017819657734035
-1,-1.002403391239256
-1,-1.0025531664070833
-1,-0.9983778062729072
-1,-1.000190637465186
-1,-1.001451099539235
-1,-0.9807935064262525
-1,-0.9985948908334691
-1,-1.0003047748799796
-1,-0.9988016443340764
-1,-1.000588077594905
-1,-1.0068836186251455
-1,-1.0022637034566937
-1,-0.9990766285167592
-1,-0.9997269752664563
-1,-1.0021421756633386
-1,-0.9993678960292418
-1,-1.0019250911027775
-1,-1.0021421756633386
-1,-0.9993678960292418
-1,-0.9988122881017912
-1,-0.9985948908334691
-1,-1.007812230362405
-1,-0.9429913945620277
-1,-0.9988122881017912
-1,-1.0028497645235448
-1,-0.9983778062729072
-1,-1.0019250911027775
-1,-0.9972838395914516
-1,-0.998234680943534
-1,-1.0008374225172036
-1,-1.0216567817083093
-1,-0.9994718284804518
-1,-1.0126261032289328
-1,-0.9988016443340764
-1,-1.0019250911027775
-1,-0.9988694860095101
-1,-0.9983778062729072
-1,-0.9990766285167592
-1,-1.0021130274727459
-1,-1.0699389885196593
-1,-1.0222132748364003
-1,-0.9985362877547975
-1,-0.9994931282095927
-1,-0.9988122881017912
-1,-0.9994131991651908
-1,-0.9708386640831923
-1,-0.9994168369117942
-1,-0.9988016443340764
-1,-1.0023595729316608
-1,-1.0163972232459757
-1,-1.000568043092868
-1,-1.0061897405142934
-1,-1.0053194984729417
-1,-1.002473237362681
-1,-0.9917891505505675
-1,-0.9995170907819497
-1,-0.9980175963829724
-1,-0.9985948908334691
-1,-0.9990766285167592
-1,-0.9992788446389065
-1,-0.9983778062729072
-1,-1.0093312666311154
-1,-0.9994931282095927
-1,-1.0024539222408486
-1,-0.9993678960292418
-1,-0.9998282040399994
-1,-1.0093312666311154
-1,-0.9999959713335473
-1,-0.9994168369117942
-1,-1.0019250911027775
-1,-1.0019250911027775
-1,-0.9988122881017912
-1,-1.0222132748364003
-1,-1.0084253655327458
