Date,Real Price,Predicted Price,Real Quantity,Predicted Quantity
2023-10-10 12:53:24,0.2222222222222222,0.3044788,-0.11764705882352941,0.3046332
2023-10-10 12:47:44,-0.4444444444444444,0.3006664,0.47058823529411764,0.30077884
2023-10-10 12:55:42,0.4444444444444444,0.3093583,0.4117647058823529,0.3095663
2023-10-10 12:57:17,0.6666666666666666,0.31556192,-0.3235294117647059,0.31583828
2023-10-10 12:49:07,-0.2222222222222222,0.34833136,-0.6176470588235294,0.3483518
2023-10-10 12:45:28,-0.6666666666666666,0.7210912,0.0,0.72197074
2023-10-10 12:46:42,-0.5555555555555556,0.64484304,0.4117647058823529,0.6455436
2023-10-10 12:56:10,0.5555555555555556,0.3253123,-0.5294117647058824,0.3256959
2023-10-10 12:41:26,-1.1111111111111112,0.8293715,-0.058823529411764705,0.8290432
2023-10-10 12:54:37,0.3333333333333333,0.31236526,0.2647058823529412,0.3126065
2023-10-10 12:41:38,-1.1111111111111112,0.8601853,0.29411764705882354,0.85844266
2023-10-10 12:55:54,0.4444444444444444,0.3098777,0.7647058823529411,0.31009144
2023-10-10 12:50:11,-0.1111111111111111,0.295522,-0.5,0.2955778
2023-10-10 12:59:59,0.8888888888888888,0.3213996,0.9117647058823529,0.32174015
2023-10-10 12:46:21,-0.5555555555555556,0.67378885,-0.20588235294117646,0.67455727
2023-10-10 12:53:44,0.2222222222222222,0.30330727,0.47058823529411764,0.3034487
2023-10-10 12:54:50,0.3333333333333333,0.3074269,0.6470588235294118,0.3076136
2023-10-10 12:46:40,-0.5555555555555556,0.65648407,0.35294117647058826,0.65721196
2023-10-10 12:47:44,-0.4444444444444444,0.30161133,0.47058823529411764,0.30173418
2023-10-10 12:51:14,0.0,0.30037883,-0.4117647058823529,0.30048808
2023-10-10 12:50:00,-0.1111111111111111,0.30722255,-0.8235294117647058,0.3074072
2023-10-10 12:40:48,-1.2222222222222223,0.8781133,0.5882352941176471,0.87579507
2023-10-10 12:49:47,-0.2222222222222222,0.32157746,0.5588235294117647,0.32192054
2023-10-10 12:57:20,0.6666666666666666,0.31723493,-0.23529411764705882,0.31752968
2023-10-10 12:59:49,0.8888888888888888,0.32823074,0.6176470588235294,0.32864657
2023-10-10 12:50:06,-0.1111111111111111,0.30804282,-0.6470588235294118,0.30823642
2023-10-10 12:59:37,0.8888888888888888,0.321741,0.2647058823529412,0.32208535
2023-10-10 12:40:49,-1.2222222222222223,0.87624854,0.6176470588235294,0.87376845
2023-10-10 12:57:04,0.6666666666666666,0.31452253,-0.7058823529411765,0.31478736
2023-10-10 12:56:35,0.5555555555555556,0.3136108,0.20588235294117646,0.3138656
2023-10-10 12:54:50,0.3333333333333333,0.30720374,0.6470588235294118,0.30738807
2023-10-10 12:55:44,0.4444444444444444,0.30933347,0.47058823529411764,0.30954129
2023-10-10 12:50:10,-0.1111111111111111,0.29549745,-0.5294117647058824,0.29555294
2023-10-10 12:52:51,0.1111111111111111,0.30187437,0.6764705882352942,0.30200002
2023-10-10 12:42:55,-1.0,0.8340712,0.7941176470588235,0.8335277
2023-10-10 12:51:11,0.0,0.29807088,-0.5,0.29815474
2023-10-10 12:52:42,0.1111111111111111,0.3020121,0.4117647058823529,0.3021392
2023-10-10 12:47:59,-0.4444444444444444,0.4669476,0.9117647058823529,0.46723038
2023-10-10 12:54:15,0.3333333333333333,0.30438116,-0.38235294117647056,0.30453447
2023-10-10 12:41:05,-1.1111111111111112,0.87563235,-0.6764705882352942,0.8731803
2023-10-10 12:51:11,0.0,0.31175947,-0.5,0.31199402
2023-10-10 12:43:48,-0.8888888888888888,0.7141147,0.5882352941176471,0.7149773
2023-10-10 12:57:59,0.6666666666666666,0.31704184,0.9117647058823529,0.31733447
2023-10-10 12:43:35,-0.8888888888888888,0.73436517,0.20588235294117646,0.7352753
2023-10-10 12:56:17,0.5555555555555556,0.31370005,-0.3235294117647059,0.31395584
2023-10-10 12:43:00,-0.8888888888888888,0.82344407,-0.8235294117647058,0.8233883
2023-10-10 12:50:06,-0.1111111111111111,0.29458177,-0.6470588235294118,0.29462722
2023-10-10 12:51:26,0.0,0.2989892,-0.058823529411764705,0.2990831
2023-10-10 12:50:54,-0.1111111111111111,0.2971343,0.7647058823529411,0.2972078
2023-10-10 12:39:53,-1.3333333333333333,0.8844636,0.7352941176470589,0.8828949
2023-10-10 12:57:18,0.6666666666666666,0.31574202,-0.29411764705882354,0.31602028
2023-10-10 12:46:47,-0.5555555555555556,0.64223796,0.5588235294117647,0.6429325
2023-10-10 12:42:23,-1.0,0.8429293,-0.14705882352941177,0.84197897
2023-10-10 12:49:37,-0.2222222222222222,0.2924701,0.2647058823529412,0.29249233
2023-10-10 12:43:37,-0.8888888888888888,0.8159281,0.2647058823529412,0.8162175
2023-10-10 12:47:44,-0.4444444444444444,0.30141366,0.47058823529411764,0.30153432
2023-10-10 12:50:37,-0.1111111111111111,0.29682577,0.2647058823529412,0.29689586
2023-10-10 12:53:48,0.2222222222222222,0.3033174,0.5882352941176471,0.30345893
2023-10-10 12:58:04,0.7777777777777778,0.31783018,-0.7058823529411765,0.31813145
2023-10-10 12:46:27,-0.5555555555555556,0.6698714,-0.029411764705882353,0.67063075
2023-10-10 12:52:42,0.1111111111111111,0.30183598,0.4117647058823529,0.30196124
2023-10-10 12:47:42,-0.4444444444444444,0.30118316,0.4117647058823529,0.3013013
2023-10-10 12:58:04,0.7777777777777778,0.3302706,-0.7058823529411765,0.3307088
2023-10-10 12:56:10,0.5555555555555556,0.3249152,-0.5294117647058824,0.3252945
