TRADE_ID,PRICE,QUANTITY,BUYER_ORDER_ID,SELLER_ORDER_ID,TRADE_TIME,IS_BUYER_MARKET_MAKER,TRADE_YEAR,TRADE_MONTH,TRADE_DAY,TRADE_HOUR,TRADE_MINUTE,TRADE_SECOND
3234644110,0.721423033853057,1.8320685275054554e-05,22680782875,22680778995,2023-10-10 12:39:47,0,2023,10,10,12,39,47
3234644111,0.721423033853057,4.274826564179395e-05,22680782877,22680778995,2023-10-10 12:39:47,0,2023,10,10,12,39,47
3234644112,0.7213368937893279,0.00020254535387421424,22680782158,22680782889,2023-10-10 12:39:47,1,2023,10,10,12,39,47
3234644113,0.7213368937893279,0.001034100902191968,22680782158,22680782890,2023-10-10 12:39:47,1,2023,10,10,12,39,47
3234644114,0.7213368937893279,0.00023511546102986678,22680782158,22680782891,2023-10-10 12:39:47,1,2023,10,10,12,39,47
3234644115,0.721423033853057,0.00027582809497443244,22680782905,22680778995,2023-10-10 12:39:47,0,2023,10,10,12,39,47
3234644116,0.721423033853057,0.00023715109272709505,22680782972,22680778995,2023-10-10 12:39:48,0,2023,10,10,12,39,48
3234644117,0.7213368937893279,0.0002422401719701658,22680782158,22680783041,2023-10-10 12:39:49,1,2023,10,10,12,39,49
3234644118,0.721423033853057,0.00018320685275054555,22680783047,22680778995,2023-10-10 12:39:50,0,2023,10,10,12,39,50
3234644119,0.721423033853057,0.002930291828160114,22680783061,22680778995,2023-10-10 12:39:50,0,2023,10,10,12,39,50
3234644120,0.7213368937893279,0.0002096700648145132,22680782158,22680783068,2023-10-10 12:39:50,1,2023,10,10,12,39,50
3234644121,0.7213368937893279,0.000164886167475491,22680782158,22680783096,2023-10-10 12:39:51,1,2023,10,10,12,39,51
3234644122,0.721423033853057,0.0007389343060938671,22680783110,22680778995,2023-10-10 12:39:51,0,2023,10,10,12,39,51
3234644123,0.7213368937893279,4.274826564179395e-05,22680782158,22680783111,2023-10-10 12:39:51,1,2023,10,10,12,39,51
3234644124,0.721423033853057,7.328274110021822e-05,22680783155,22680778995,2023-10-10 12:39:52,0,2023,10,10,12,39,52
3234644125,0.7213368937893279,0.00012824479692538187,22680782158,22680783170,2023-10-10 12:39:52,1,2023,10,10,12,39,52
