Date,Actual Prices,Predicted Prices
2023-10-10 12:53:24,0.3988285,0.30447888
2023-10-10 12:47:44,0.5830821,0.3006664
2023-10-10 12:55:42,0.3190628,0.30935836
2023-10-10 12:57:17,0.05271772,0.31556195
2023-10-10 12:49:07,0.50633126,0.34833133
2023-10-10 12:45:28,0.87802565,0.72109133
2023-10-10 12:46:42,0.7632871,0.6448431
2023-10-10 12:56:10,0.09130847,0.3253125
2023-10-10 12:41:26,0.82763374,0.8293716
2023-10-10 12:54:37,0.28779396,0.3123653
2023-10-10 12:41:38,0.84744596,0.8601856
2023-10-10 12:55:54,0.26341632,0.30987772
2023-10-10 12:50:11,0.4401757,0.29552206
2023-10-10 12:59:59,0.19450426,0.3213998
2023-10-10 12:46:21,0.82875353,0.673789
2023-10-10 12:53:44,0.42027736,0.3033073
2023-10-10 12:54:50,0.27599275,0.30742684
2023-10-10 12:46:40,0.80342835,0.65648407
2023-10-10 12:47:44,0.5708502,0.3016113
2023-10-10 12:51:14,0.38685504,0.30037883
2023-10-10 12:50:00,0.45077094,0.30722263
2023-10-10 12:40:48,0.7606168,0.8781133
2023-10-10 12:49:47,0.55551726,0.3215775
2023-10-10 12:57:20,0.06650013,0.31723514
2023-10-10 12:59:49,0.18408132,0.32823083
2023-10-10 12:50:06,0.41123265,0.30804282
2023-10-10 12:59:37,0.16194332,0.32174116
2023-10-10 12:40:49,0.7621673,0.8762485
2023-10-10 12:57:04,0.16090964,0.31452256
2023-10-10 12:56:35,0.21776208,0.31361085
2023-10-10 12:54:50,0.26565596,0.3072037
2023-10-10 12:55:44,0.3190628,0.30933353
2023-10-10 12:50:10,0.42467052,0.29549748
2023-10-10 12:52:51,0.39581358,0.30187437
2023-10-10 12:42:55,0.8614868,0.83407134
2023-10-10 12:51:11,0.39701957,0.29807088
2023-10-10 12:52:42,0.39030063,0.30201206
2023-10-10 12:47:59,0.5556896,0.4669476
2023-10-10 12:54:15,0.39245412,0.30438128
2023-10-10 12:41:05,0.7622534,0.8756324
2023-10-10 12:51:11,0.39090362,0.3117595
2023-10-10 12:43:48,0.9999139,0.71411484
2023-10-10 12:57:59,0.046171073,0.31704205
2023-10-10 12:43:35,0.95684385,0.73436534
2023-10-10 12:56:17,0.16022052,0.3137001
